Rep,base,high MS S,NTP cap,NTP prod,NTP c&p,Rest cap,Rest prod,Rest c&p,Rest c&p+HighS,50:50 sr,no repeat,no resident
1,172,555,1205,432,926,576,141,301,756,351,238,180
2,426,520,342,1022,1050,196,427,63,866,657,192,191
3,250,401,229,293,370,227,266,197,130,183,425,372
4,952,561,913,508,749,72,402,23,529,120,443,269
5,259,554,244,343,296,402,330,426,1025,176,176,52
6,136,284,617,319,748,270,129,273,457,137,568,381
7,601,600,1062,198,219,289,312,185,996,625,436,75
8,128,1176,262,268,920,269,224,512,276,239,449,79
9,42,237,809,576,826,237,250,95,474,452,143,411
10,491,411,396,727,532,296,330,372,313,155,145,111
11,145,347,136,427,568,108,401,142,421,330,128,419
12,329,547,966,112,385,153,244,92,418,54,539,44
13,208,433,171,420,526,466,389,491,231,243,259,154
14,194,503,725,558,726,130,48,292,85,87,271,604
15,686,470,661,245,338,709,424,366,817,281,216,171
16,209,617,403,188,1090,318,162,141,674,566,240,136
17,145,338,565,435,645,529,930,223,407,305,65,272
18,590,539,656,445,455,353,511,384,530,177,560,125
19,178,998,254,53,381,463,764,367,678,334,110,197
20,410,815,806,1164,657,131,851,243,221,447,332,97
21,163,189,459,269,648,364,171,745,832,501,242,455
22,172,349,364,303,297,257,121,393,588,109,257,131
23,60,399,262,519,865,96,390,496,1056,159,159,534
24,427,677,405,203,391,393,717,411,271,21,468,207
25,190,128,801,266,549,567,814,372,494,648,54,494
26,512,355,352,363,424,76,287,534,337,551,167,218
27,168,393,808,432,824,165,465,240,404,558,190,65
28,539,498,527,511,546,427,580,768,1084,69,239,386
29,163,539,459,246,449,321,326,217,198,81,117,402
30,158,694,849,684,619,291,283,725,851,115,556,288
31,288,1091,987,224,614,513,348,316,433,251,189,392
32,275,329,139,553,395,141,449,233,1120,231,317,493
33,228,556,1337,72,1008,193,70,404,223,131,168,270
34,312,213,329,550,513,466,550,769,640,263,506,78
35,830,808,1070,437,981,500,470,171,613,288,294,141
36,389,515,694,575,216,312,713,333,1031,142,609,320
37,273,461,185,261,180,201,150,173,770,966,461,293
38,654,1242,772,214,1293,358,146,29,495,211,347,261
39,354,1224,198,740,896,105,189,232,203,726,139,448
40,304,845,750,329,519,432,81,620,900,357,232,199
41,239,322,325,125,684,166,476,480,908,192,839,409
42,193,412,138,684,483,125,668,387,422,129,320,371
43,398,302,228,248,244,209,247,218,409,262,138,106
44,47,504,1024,169,979,304,125,983,391,449,264,128
45,429,455,527,147,470,542,843,427,543,546,138,126
46,79,217,430,545,267,508,71,331,1063,362,215,218
47,425,502,766,76,673,354,266,381,825,409,824,249
48,605,625,202,255,361,866,75,442,287,406,234,399
49,172,327,904,488,420,214,407,206,551,267,150,374
50,387,330,612,566,271,81,258,323,921,466,333,242
51,190,215,401,953,804,285,249,588,572,432,278,102
52,352,593,343,167,272,295,163,463,856,236,621,173
53,24,736,751,268,492,166,187,302,507,386,639,205
54,281,346,446,299,415,371,255,254,508,339,278,98
55,605,393,248,400,516,94,184,358,627,327,232,352
56,322,150,176,660,626,424,448,103,519,324,214,642
57,283,1257,91,233,282,200,837,555,280,387,289,256
58,204,622,453,292,969,88,278,626,1171,599,371,575
59,200,1123,456,926,1129,66,156,203,249,121,259,221
60,148,550,945,298,580,193,281,425,627,295,91,395
61,204,498,1018,362,860,526,90,565,1125,249,300,217
62,250,911,712,228,276,298,903,1259,569,149,88,468
63,771,658,374,845,641,184,168,71,360,141,103,311
64,398,885,547,229,584,232,277,292,401,198,195,69
65,431,822,294,654,479,377,401,482,324,382,530,250
66,93,586,164,543,746,292,368,465,866,260,502,311
67,110,111,975,392,427,292,342,599,924,253,56,38
68,446,292,403,254,989,153,520,450,308,93,153,206
69,194,442,456,132,493,304,214,277,484,417,232,231
70,97,390,94,527,458,220,186,321,500,321,194,546
71,416,741,406,166,769,110,190,323,481,191,483,379
72,394,292,786,432,1086,444,329,212,628,298,582,183
73,239,201,261,225,459,298,375,320,343,234,557,357
74,127,241,803,316,333,139,318,153,626,135,447,518
75,94,439,205,449,592,378,465,261,375,127,224,394
76,222,364,329,1121,1253,171,260,330,465,313,303,503
77,184,247,287,422,804,429,114,507,253,29,276,306
78,207,359,323,291,1028,65,557,193,331,207,69,600
79,102,851,721,248,930,450,168,254,299,356,103,271
80,128,393,453,269,355,644,312,211,190,58,48,252
81,230,451,514,465,375,518,246,75,545,361,402,138
82,91,664,304,256,1184,292,469,139,440,353,122,207
83,413,616,564,258,845,276,225,372,921,434,228,386
84,492,191,459,234,1607,562,310,417,228,639,282,51
85,65,634,300,740,703,329,294,611,806,351,275,101
86,108,391,808,42,858,248,124,392,200,205,285,176
87,334,437,548,487,412,214,199,27,642,223,374,254
88,375,935,555,216,486,180,240,649,477,219,248,624
89,369,236,293,326,1067,199,435,376,381,397,499,350
90,806,973,789,230,1130,754,458,773,529,319,385,634
91,186,427,915,511,721,308,317,312,465,224,99,193
92,251,248,352,199,811,261,424,281,654,219,467,342
93,1180,381,403,416,448,57,607,440,573,523,51,324
94,516,118,560,366,1378,292,31,193,390,260,73,276
95,127,883,418,153,102,283,189,240,594,94,122,171
96,642,333,484,476,170,541,173,234,722,176,335,337
97,140,789,578,755,725,331,367,158,664,149,609,500
98,494,267,534,306,668,388,314,243,456,145,496,276
99,152,404,308,331,652,894,443,355,257,224,442,305
100,238,411,903,560,749,864,217,197,371,134,318,105
