"Site","SubPop","Egg","Fry","Par","PreSmolt","Smolt","Adult_Y0","Adult_Y1","Adult_Y2","Adult_Y3","Adult_Y4","Adult_Y5","Adult_Y6","Adult_Y7","Adult_Y8","Adult_Y9","Adult_Y10","Pre.SmoltY1","Pre.SmoltY2","Pre.SmoltY3","Pre.SmoltY4","Pre.SmoltY5","Pre.SmoltY6","Pre.SmoltY7","Pre.SmoltY8","Pre.SmoltY9","Pre.SmoltY10"
"Salmon_River","Natural",0,0,0,63850,26832,0,0,0,0,0,0,0,0,0,0,0,30309,33540,0,0,0,0,0,0,0,0
"Salmon_River","H1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salmon_River","N.H2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salmon_River","H2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salmon_River","N-N.H3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salmon_River","N-H3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salmon_River","N.H3-H3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salmon_River","N.H3-H2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salmon_River","H3-H2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salmon_River","H3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salmon_River","N.H3-N.H3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
